pg_id;gamme;famille;trends_index;seo_score;serp_score;google_suggest;bing_suggest;competitor_presence;competition_difficulty;competition_level;search_intent;intent_confidence;shopping_likely;paa_count;commercial_value;current_g_level;recommended_g_level;action_recommended
3893;"Joint de pompe d'injection";"Système d'alimentation";0;67;82;0;12;4;20;EASY;TRANSACTIONAL;25;OUI;1;50;G3;G2;PROMOUVOIR_INDEX
3640;"Refroidisseur de carburant";"Système d'alimentation";0;56;61;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G2;PROMOUVOIR_INDEX
904;"Soupape d'air secondaire";"Système d'alimentation";0;58;67;0;5;4;20;EASY;COMMERCIAL_INVESTIGATION;26;NON;1;50;G3;G2;PROMOUVOIR_INDEX
1136;"Soupape d'aspiration d'air secondaire";"Système d'alimentation";0;55;57;0;12;4;20;EASY;COMMERCIAL_INVESTIGATION;26;NON;0;50;G3;G2;PROMOUVOIR_INDEX
5656;"Soupape de rampe commune d'injection";"Système d'alimentation";0;51;57;0;1;4;20;EASY;COMMERCIAL_INVESTIGATION;26;NON;0;50;G3;G3;
1137;"Soupape réaspiration des gaz d'échappement";"Système d'alimentation";0;50;57;0;0;4;20;EASY;COMMERCIAL_INVESTIGATION;26;NON;1;50;G3;G3;
3937;"Tuyau carburant de fuite";"Système d'alimentation";0;59;71;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;3;50;G3;G2;PROMOUVOIR_INDEX
626;"Bague d'étanchéité boîte automatique";"Moteur";0;52;57;0;2;4;20;EASY;COMMERCIAL_INVESTIGATION;30;NON;1;50;G3;G3;
3874;"Bagues d'étanchéité moteur";"Moteur";0;52;51;0;2;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;1;65;G2;G3;
2197;"Interrupteur position de marche";"Moteur";0;55;57;0;12;4;20;EASY;COMMERCIAL_INVESTIGATION;30;NON;1;50;G3;G2;PROMOUVOIR_INDEX
599;"Jauge de niveau d'huile";"Moteur";0;59;67;4;12;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;5;50;G3;G2;PROMOUVOIR_INDEX
568;"Joint carter de distribution";"Moteur";0;56;61;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;1;50;G3;G2;PROMOUVOIR_INDEX
128;"Joint chemise de cylindre";"Moteur";0;55;57;0;6;4;20;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G2;PROMOUVOIR_INDEX
322;"Joint tige de soupape";"Moteur";0;65;71;4;10;4;35;EASY;COMMERCIAL_INVESTIGATION;26;NON;3;50;G3;G2;PROMOUVOIR_INDEX
3320;"Kit de poussoir culbuteur";"Moteur";0;55;72;0;1;4;20;EASY;COMMERCIAL_INVESTIGATION;26;OUI;0;50;G3;G2;PROMOUVOIR_INDEX
3072;"Mécatronique boîte automatique";"Moteur";0;56;61;0;11;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G2;PROMOUVOIR_INDEX
560;"Pochette joints moteur";"Moteur";0;51;55;0;12;4;50;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;0;65;G3;G3;
1216;"Poussoir de soupape";"Moteur";0;56;61;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;26;NON;0;50;G2;G2;
1269;"Soupape d'admission";"Moteur";0;46;57;1;0;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;26;NON;1;50;G2;G3;
792;"Moteur électrique de ventilateur";"Refroidissement";0;51;55;0;12;4;50;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;1;65;G3;G3;
2669;"Pulseur d'air d'habitacle";"Refroidissement";0;56;61;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;2;50;G2;G2;
851;"Bouteille déshydratante";"Climatisation";0;48;57;2;0;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;26;NON;0;50;G2;G3;
2054;"Capteur température de climatisation";"Climatisation";0;71;86;2;12;4;35;EASY;TRANSACTIONAL;25;OUI;0;50;G2;G2;
2094;"Conduite de climatisation";"Climatisation";0;61;67;2;12;4;20;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G2;PROMOUVOIR_INDEX
471;"Evaporateur de climatisation";"Climatisation";0;71;61;7;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;1;80;G2;G2;
2408;"Gicleur détendeur";"Climatisation";0;48;53;0;0;4;30;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G3;
1360;"Pressostat de climatisation";"Climatisation";0;65;71;4;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;4;50;G3;G2;PROMOUVOIR_INDEX
2669;"Pulseur d'air d'habitacle";"Climatisation";0;56;61;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;2;50;G2;G2;
2073;"Valve magnétique";"Climatisation";0;51;63;0;0;4;30;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G3;
138;"Joint d'échappement";"Echappement";0;54;67;4;0;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;3;50;G3;G3;
117;"Ampoule éclairage intérieur";"Eclairage";0;73;67;10;12;4;20;EASY;COMMERCIAL_INVESTIGATION;26;NON;0;50;G3;G2;PROMOUVOIR_INDEX
112;"Ampoule feu éclaireur de plaque";"Eclairage";0;56;61;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;26;NON;1;50;G3;G2;PROMOUVOIR_INDEX
1432;"Commande correcteur de portée";"Eclairage";0;55;57;0;11;4;20;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G2;PROMOUVOIR_INDEX
809;"Commande d'éclairage";"Eclairage";0;48;57;2;0;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;1;50;G2;G3;
807;"Contacteur feu de recul";"Eclairage";0;53;67;0;12;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;8;50;G2;G3;
700;"Correcteur de portée";"Eclairage";0;56;61;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G2;PROMOUVOIR_INDEX
289;"Phares antibrouillard";"Eclairage";0;53;63;4;1;4;55;MEDIUM;COMMERCIAL_INVESTIGATION;26;NON;6;50;G3;G3;
61;"Relais de clignotant";"Eclairage";0;56;67;2;12;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;6;50;G3;G2;PROMOUVOIR_INDEX
602;"Bouchon réservoir de carburant";"Accessoires";0;59;61;2;12;4;35;EASY;COMMERCIAL_INVESTIGATION;26;NON;1;50;G3;G2;PROMOUVOIR_INDEX
1238;"Câble de capot moteur";"Accessoires";0;55;51;0;12;4;35;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;65;G3;G2;PROMOUVOIR_INDEX
2232;"Capteur contrôle de pression des pneus";"Accessoires";0;67;82;0;12;4;20;EASY;TRANSACTIONAL;25;OUI;0;50;G3;G2;PROMOUVOIR_INDEX
751;"Commande d'essuie-glace";"Accessoires";0;46;63;0;0;4;55;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;6;50;G2;G3;
179;"Faisceau d'attelage";"Accessoires";0;48;63;1;0;4;55;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;5;50;G3;G3;
864;"Interrupteur verrouilage des portes";"Accessoires";0;56;57;1;12;4;20;EASY;COMMERCIAL_INVESTIGATION;26;NON;0;50;G3;G2;PROMOUVOIR_INDEX
1209;"Parctronic";"Accessoires";0;41;45;0;0;4;50;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G3;
795;"Pompe nettoyage des phares";"Accessoires";0;67;82;0;12;4;20;EASY;TRANSACTIONAL;25;OUI;0;50;G3;G2;PROMOUVOIR_INDEX
794;"Pompe nettoyage des vitres";"Accessoires";0;67;82;0;12;4;20;EASY;TRANSACTIONAL;25;OUI;0;50;G3;G2;PROMOUVOIR_INDEX
300;"Tringlerie d'essuie-glace";"Accessoires";0;48;67;0;0;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;4;50;G3;G3;
514;"Vérin capot moteur";"Accessoires";0;51;55;0;12;4;50;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;0;65;G3;G3;
2454;"Vérin vitre arrière";"Accessoires";0;58;67;0;12;4;20;EASY;COMMERCIAL_INVESTIGATION;30;NON;0;50;G3;G2;PROMOUVOIR_INDEX
3553;"Capteur de pression turbo";"Turbo";0;66;86;0;12;4;60;MEDIUM;TRANSACTIONAL;25;OUI;10;65;G3;G2;PROMOUVOIR_INDEX
3314;"Gaine de turbo";"Turbo";0;64;80;0;5;4;50;MEDIUM;TRANSACTIONAL;25;OUI;0;65;G3;G2;PROMOUVOIR_INDEX
4314;"Valve de turbo";"Turbo";0;64;80;0;12;4;50;MEDIUM;TRANSACTIONAL;25;OUI;0;65;G3;G2;PROMOUVOIR_INDEX
